company,model,year,condition,mileage(km),fuel,volume(cm3),color,transmission,drive_unit,vehicle_size_class,priceUSD
opel,astra,1999,with mileage,397000.0,diesel,2000.0,green,mechanics,front-wheel drive,C,3350
mercedes-benz,a-klass,1998,with mileage,223000.0,petrol,1400.0,burgundy,mechanics,front-wheel drive,A,2000
mercedes-benz,s-klass,2008,with mileage,242000.0,petrol,550.0,black,auto,all-wheel drive,S,18000
bmw,7-seriya,2000,with mileage,300000.0,petrol,4400.0,black,auto,rear drive,F,4000
nissan,primera,1997,with mileage,77777.0,diesel,2000.0,silver,mechanics,front-wheel drive,D,2000
skoda,fabia,2008,with mileage,147000.0,petrol,1400.0,white,mechanics,front-wheel drive,B,5900
opel,astra,2013,with mileage,96600.0,petrol,1600.0,white,mechanics,front-wheel drive,C,8400
ford,focus,2004,with mileage,250000.0,diesel,1800.0,blue,mechanics,front-wheel drive,C,3100
toyota,auris,2008,with mileage,192000.0,petrol,1400.0,white,mechanics,front-wheel drive,C,5999
volkswagen,polo-sedan,2014,with mileage,89000.0,petrol,1600.0,brown,mechanics,front-wheel drive,B,8100
peugeot,307,2004,with mileage,193000.0,petrol,2000.0,burgundy,mechanics,front-wheel drive,C,3750
mercedes-benz,clk,2001,with mileage,200000.0,petrol,2000.0,silver,mechanics,rear drive,D,5300
renault,laguna,1996,with mileage,360.0,petrol,2000.0,white,mechanics,front-wheel drive,D,1188
ford,focus,2003,with mileage,430000.0,diesel,1800.0,silver,mechanics,front-wheel drive,C,2400
lancia,dedra,1994,with mileage,347000.0,diesel,1900.0,blue,mechanics,front-wheel drive,,1700
volkswagen,polo-sedan,2018,with mileage,37000.0,petrol,1400.0,silver,auto,front-wheel drive,B,11000
volkswagen,transporter,2010,with mileage,360000.0,diesel,2000.0,white,mechanics,front-wheel drive,M,10500
renault,scenic,2010,with mileage,210000.0,diesel,1500.0,brown,mechanics,front-wheel drive,M,6800
volkswagen,passat,2008,with mileage,230000.0,petrol,1800.0,silver,mechanics,rear drive,D,6800
volkswagen,transporter,1981,with damage,100000.0,diesel,1900.0,white,mechanics,rear drive,M,1000
opel,zafira,2003,with mileage,270.0,diesel,2200.0,blue,mechanics,front-wheel drive,M,4700
bmw,x5,2010,with mileage,132000.0,diesel,3500.0,black,auto,all-wheel drive,J,21000
citroen,c5,2011,with mileage,199890.0,diesel,1600.0,blue,mechanics,front-wheel drive,D,10600
bmw,3-seriya,2002,with mileage,300000.0,petrol,1800.0,black,mechanics,rear drive,D,5200
volkswagen,phaeton,2010,with mileage,220000.0,diesel,3000.0,black,auto,part-time four-wheel drive,F,18301
mercedes-benz,s-klass,2009,with mileage,300000.0,petrol,5500.0,black,auto,rear drive,S,16300
opel,zafira,2005,with mileage,357000.0,diesel,1900.0,silver,mechanics,front-wheel drive,M,6100
volkswagen,golf,2013,with mileage,133000.0,petrol,1400.0,blue,mechanics,front-wheel drive,C,11200
mercedes-benz,190-w201,1983,with mileage,445000.0,petrol,2000.0,orange,mechanics,rear drive,D,1400
